Designator,Mid X,Mid Y,Rotation,Layer
C49,234.874999,-126.375,180.0,bottom
C5,326.625,-158.6544,0.0,bottom
C50,253.924999,-126.375,180.0,bottom
C51,272.974999,-126.375,180.0,bottom
C52,301.549999,-126.375,180.0,bottom
C53,334.887499,-126.375,180.0,bottom
C54,353.937499,-126.375,180.0,bottom
C55,373.199999,-120.4125,0.0,bottom
C56,49.199999,-139.4125,0.0,bottom
C57,73.199999,-139.4125,0.0,bottom
C58,92.199999,-139.4125,0.0,bottom
C59,111.199999,-139.4125,0.0,bottom
C6,318.7,-163.58,270.0,bottom
C60,130.199999,-139.4125,0.0,bottom
C61,149.199999,-139.4125,0.0,bottom
C62,168.199999,-139.4125,0.0,bottom
C63,187.199999,-139.4125,0.0,bottom
C64,206.199999,-139.4125,0.0,bottom
C65,225.199999,-139.4125,0.0,bottom
C66,244.199999,-139.4125,0.0,bottom
C67,263.699999,-139.4125,0.0,bottom
C68,282.699999,-139.4125,0.0,bottom
C69,306.199999,-139.4125,0.0,bottom
C7,317.425,-161.8544,270.0,bottom
C70,334.699999,-139.4125,0.0,bottom
C71,353.699999,-139.4125,0.0,bottom
C72,373.199999,-139.4125,0.0,bottom
C73,51.518749,-164.475,180.0,bottom
C74,77.712499,-164.475,180.0,bottom
C75,96.762499,-164.475,180.0,bottom
C76,115.812499,-164.475,180.0,bottom
C77,134.862499,-164.475,180.0,bottom
C78,153.912499,-164.475,180.0,bottom
C79,172.962499,-164.475,180.0,bottom
C80,192.012499,-164.475,180.0,bottom
C81,211.062499,-164.475,180.0,bottom
C82,230.112499,-164.475,180.0,bottom
C83,249.162499,-164.475,180.0,bottom
C84,268.212499,-164.475,180.0,bottom
C85,294.406249,-164.475,180.0,bottom
C86,56.199999,-177.4125,0.0,bottom
C87,87.199999,-177.4125,0.0,bottom
C88,106.199999,-177.4125,0.0,bottom
C89,125.199999,-177.4125,0.0,bottom
C9,336.5,-157.9,270.0,bottom
C90,144.199999,-177.4125,0.0,bottom
C91,163.699999,-177.4125,0.0,bottom
C92,182.699999,-177.4125,0.0,bottom
C93,201.699999,-177.4125,0.0,bottom
C94,220.699999,-177.4125,0.0,bottom
C95,239.699999,-177.4125,0.0,bottom
C96,258.699999,-177.4125,0.0,bottom
C97,294.199999,-177.4125,0.0,bottom
C98,353.699999,-177.4125,0.0,bottom
C99,46.756249,-202.575,180.0,bottom
D1,366.38,-184.32,90.0,bottom
F1,377.2,-165.09,0.0,bottom
FB1,377.1,-167.5,180.0,bottom
FID1,42.2,-81.3,0.0,bottom
FID2,39.8,-210.2,0.0,bottom
FID3,377.5,-81.2,0.0,bottom
J1,388.2,-161.49,270.0,bottom
R1,306.2,-165.3,135.0,bottom
R2,381.4,-158.89,270.0,bottom
R3,381.4,-164.29,90.0,bottom
R4,369.85,-185.28,180.0,bottom
S1,44.874999,-94.8,180.0,bottom
S10,254.424999,-94.8,180.0,bottom
S11,273.474999,-94.8,180.0,bottom
S12,292.524999,-94.8,180.0,bottom
S13,311.574999,-94.8,180.0,bottom
S14,335.387499,-94.8,180.0,bottom
S15,354.437499,-94.8,180.0,bottom
S16,373.487499,-94.8,180.0,bottom
S17,44.874999,-123.375,0.0,bottom
S18,63.92,-123.38,0.0,bottom
S19,82.974999,-123.375,0.0,bottom
S2,82.974999,-94.8,180.0,bottom
S20,102.024999,-123.375,0.0,bottom
S21,121.074999,-123.375,0.0,bottom
S22,140.124999,-123.375,0.0,bottom
S23,159.174999,-123.375,0.0,bottom
S24,178.224999,-123.375,0.0,bottom
S25,197.274999,-123.375,0.0,bottom
S26,216.324999,-123.375,0.0,bottom
S27,235.374999,-123.375,0.0,bottom
S28,254.424999,-123.375,0.0,bottom
S29,273.474999,-123.375,0.0,bottom
S3,102.024999,-94.8,180.0,bottom
S30,302.049999,-123.375,0.0,bottom
S31,335.387499,-123.375,0.0,bottom
S32,354.437499,-123.375,0.0,bottom
S33,373.487499,-123.375,180.0,bottom
S34,49.637499,-142.425,180.0,bottom
S35,73.449999,-142.425,180.0,bottom
S36,92.499999,-142.425,180.0,bottom
S37,111.549999,-142.425,180.0,bottom
S38,130.599999,-142.425,180.0,bottom
S39,149.649999,-142.425,180.0,bottom
S4,121.074999,-94.8,180.0,bottom
S40,168.699999,-142.425,180.0,bottom
S41,187.749999,-142.425,180.0,bottom
S42,206.799999,-142.425,180.0,bottom
S43,225.849999,-142.425,180.0,bottom
S44,244.899999,-142.425,180.0,bottom
S45,263.949999,-142.425,180.0,bottom
S46,282.999999,-142.425,180.0,bottom
S47,306.812499,-142.425,180.0,bottom
S48,335.387499,-142.425,180.0,bottom
S49,354.437499,-142.425,180.0,bottom
S5,140.124999,-94.8,180.0,bottom
S50,373.487499,-142.425,180.0,bottom
S51,52.018749,-161.475,0.0,bottom
S52,78.212499,-161.475,0.0,bottom
S53,97.262499,-161.475,0.0,bottom
S54,116.312499,-161.475,0.0,bottom
S55,135.362499,-161.475,0.0,bottom
S56,154.412499,-161.475,0.0,bottom
S57,173.462499,-161.475,0.0,bottom
S58,192.512499,-161.475,0.0,bottom
S59,211.562499,-161.475,0.0,bottom
S6,168.699999,-94.8,180.0,bottom
S60,230.612499,-161.475,0.0,bottom
S61,249.662499,-161.475,0.0,bottom
S62,268.712499,-161.475,0.0,bottom
S63,294.906249,-161.475,0.0,bottom
S64,56.781249,-180.525,180.0,bottom
S65,87.737499,-180.525,180.0,bottom
S66,106.787499,-180.525,180.0,bottom
S67,125.837499,-180.525,180.0,bottom
S68,144.887499,-180.525,180.0,bottom
S69,163.937499,-180.525,180.0,bottom
S7,187.749999,-94.8,180.0,bottom
S70,182.987499,-180.525,180.0,bottom
S71,202.037499,-180.525,180.0,bottom
S72,221.087499,-180.525,180.0,bottom
S73,240.137499,-180.525,180.0,bottom
S74,259.187499,-180.525,180.0,bottom
S75,294.906249,-180.525,180.0,bottom
S76,354.437499,-180.525,180.0,bottom
S77,47.256249,-199.575,0.0,bottom
S78,71.068749,-199.575,0.0,bottom
S79,94.881249,-199.575,0.0,bottom
S8,206.799999,-94.8,180.0,bottom
S80,166.318749,-199.575,0.0,bottom
S81,237.756249,-199.575,0.0,bottom
S82,261.568749,-199.575,0.0,bottom
S83,285.381249,-199.575,0.0,bottom
S84,309.193749,-199.575,0.0,bottom
S85,335.387499,-199.575,0.0,bottom
S86,354.437499,-199.575,0.0,bottom
S87,373.487499,-199.575,0.0,bottom
S9,225.849999,-94.8,180.0,bottom
SW1,306.9,-157.3,0.0,bottom
SW2,343.8,-157.3,180.0,bottom
U1,324.075,-165.5919,270.0,bottom
U3,365.85,-173.5,0.0,bottom
U4,375.5375,-161.45,180.0,bottom
U5,380.5,-177.1,0.0,bottom
Y1,313.825,-166.1919,90.0,bottom
